id,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
1561,CERTIFIED,PITON-SAMMAN LLP,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATIONS OFFICER,Y,77626,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
1562,CERTIFIED-WITHDRAWN,AIM BIG INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,48339,2016,"WESTMONT, ILLINOIS",-87.9756175,41.7958639
1563,CERTIFIED,NINA'S FRESH BAKERY,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,64230.4,2016,"JUPITER, FLORIDA",-80.0942087,26.9342246
1564,CERTIFIED,FOOTYBOOTS LLC,GENERAL AND OPERATIONS MANAGERS,CONSTRUCTION & DEVELOPMENT MANAGER,Y,120474,2016,"AUSTIN, TEXAS",-97.7430608,30.267153
1565,DENIED,QLEEK INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
1566,CERTIFIED,VERES FOODS USA INC.,GENERAL AND OPERATIONS MANAGERS,DIRECTOR,Y,160451,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1567,DENIED,ASSEMBLEDGE INC,GENERAL AND OPERATIONS MANAGERS,BUSINESS MANAGER FOR INTERNATIONAL AFFAIRS AND OPERATIONS,N,57034,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
1568,CERTIFIED,COLES BERMUDA LLC,GENERAL AND OPERATIONS MANAGERS,MANAGING DIRECTOR,Y,75192,2016,"HENDERSON, NEVADA",-114.9817213,36.0395247
1569,CERTIFIED,AUTOPODS INC,GENERAL AND OPERATIONS MANAGERS,CHIEF INFORMATION OFFICER,N,52374.4,2016,"PITTSBURGH, PENNSYLVANIA",-79.9958864,40.4406248
1570,CERTIFIED,"NES GLOBAL, LLC",GENERAL AND OPERATIONS MANAGERS,SENIOR ACCOUNT MANAGER,N,64002,2016,"ORLANDO, FLORIDA",-81.3792365,28.5383355
1571,CERTIFIED,"RE-STREAM, CO.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS DIRECTOR,Y,70117,2016,"WALTHAM, MASSACHUSETTS",-71.2356113,42.3764852
1572,CERTIFIED,PLANNED PARENTHOOD FEDERATION OF AMERICA,GENERAL AND OPERATIONS MANAGERS,"MANAGER, DIGITAL MARKETING & COMMUNICATIONS",Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1573,CERTIFIED,OM RX SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,STORE MANAGER,N,62629,2016,"GREENVILLE, TEXAS",-96.1108066,33.1384488
1574,CERTIFIED,DENTAL AMERICAN GROUP CORP.,GENERAL AND OPERATIONS MANAGERS,REGIONAL OPERATIONS DIRECTOR / DENTAL MANAGER,N,69514,2016,"HIALEAH, FLORIDA",-80.2781057,25.8575963
1575,CERTIFIED,"CONTACT TOURS, LLC",GENERAL AND OPERATIONS MANAGERS,GENERAL & OPERATIONS MANAGER OF THE FIT DEPARTMENT,N,65437,2016,"PLANTATION, FLORIDA",-80.2331036,26.1275862
1576,CERTIFIED,STARR INDEMNITY AND LIABILITY COMPANY,GENERAL AND OPERATIONS MANAGERS,HEAD OF GLOBAL CHINA DESK,Y,117437,2016,"NEW YORK CITY, NEW YORK",-74.0059413,40.7127837
1577,DENIED,"GLOBAL STRATEGIES, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,70117,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
1578,CERTIFIED,EQUIPMENT DEPOT LTD.,GENERAL AND OPERATIONS MANAGERS,BRANCH GENERAL MANAGER,N,64002,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
1579,CERTIFIED,RICULT INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117,2016,"CAMBRIDGE, MASSACHUSETTS",-71.1097335,42.3736158
1580,CERTIFIED,OLIVE LED LIGHTING INC.,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,117436.8,2016,"FLUSHING, NEW YORK",-73.833079,40.7674987
1581,CERTIFIED,VV PHARMACY INC.,GENERAL AND OPERATIONS MANAGERS,PHARMACY MANAGER SERVICES,Y,74401.6,2016,"BROOKLYN, NEW YORK",-73.9441579,40.6781784
1582,CERTIFIED,"JOBGENIE, INC.",GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,Y,71282,2016,"PALO ALTO, CALIFORNIA",-122.1430195,37.4418834
1583,CERTIFIED,"VDS FARMS, LLC",GENERAL AND OPERATIONS MANAGERS,EQUIPMENT MANAGER,N,46592,2016,"FULTON, MICHIGAN",NA,NA
1584,CERTIFIED,OM RX SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,PHARMACY MANAGER,N,62629,2016,"GREENVILLE, TEXAS",-96.1108066,33.1384488
1585,CERTIFIED,"AT&T SERVICES, INC.",GENERAL AND OPERATIONS MANAGERS,"EXECUTIVE DIRECTOR, INTERNATIONAL EXTERNAL AFFAIRS, CARIBBEA",Y,137800,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
1586,WITHDRAWN,SEVENROOMS INC.,GENERAL AND OPERATIONS MANAGERS,MARKET RESEARCH ANALYST,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1587,CERTIFIED,NINEPOINT CAPITAL LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,117437,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1588,CERTIFIED,VECTRA INFOSYS INC.,GENERAL AND OPERATIONS MANAGERS,BUSINESS DEVELOPMENT MANAGER,N,62629,2016,"IRVING, TEXAS",-96.9488945,32.8140177
1589,CERTIFIED,HONEYWELL INTERNATIONAL INC.,GENERAL AND OPERATIONS MANAGERS,VP EMERGING & ENTERPRISE SOLUTIONS,Y,212098,2016,"MORRIS PLAINS, NEW JERSEY",-74.4818698,40.8395922
1590,DENIED,ARAPURA INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,60000,2016,"SOUTHPORT, CONNECTICUT",NA,NA
1591,CERTIFIED,"BREAD & CHOCOLATE, LLC",GENERAL AND OPERATIONS MANAGERS,COUNTRY MANAGER,N,69514,2016,"SUNNY ISLES BEACH, FLORIDA",-80.1233802,25.9428707
1592,CERTIFIED,"CVR REFINING GP, LLC",GENERAL AND OPERATIONS MANAGERS,VICE PRESIDENT AND GENERAL MANAGER OF REFINING,Y,109574,2016,"WYNNEWOOD, OKLAHOMA",NA,NA
1593,DENIED,BANGOR CHINESE SCHOOL,GENERAL AND OPERATIONS MANAGERS,ASSISTANT ADMINISTRATOR,N,39956.8,2016,"BANGOR, MAINE",-68.7778138,44.8011821
1594,CERTIFIED,SEVENROOMS INC.,GENERAL AND OPERATIONS MANAGERS,MARKET RESEARCH ANALYST,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1595,CERTIFIED,"PANDA EXPRESS, INC.",GENERAL AND OPERATIONS MANAGERS,AREA COACH OPERATIONS-IN TRAINING,N,48090,2016,"VERNON HILLS, ILLINOIS",-87.9653565,42.2393323
1596,DENIED,CARLTON MULTI SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,64002,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
1597,CERTIFIED,SOLE COOL INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,62629,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
1598,WITHDRAWN,SEVENROOMS INC.,GENERAL AND OPERATIONS MANAGERS,MARKET RESEARCH ANALYST,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1599,CERTIFIED,NEW YORK PAO DE QUEIJO LLC,GENERAL AND OPERATIONS MANAGERS,BUSINESS MANAGER,Y,74401.6,2016,"ASTORIA, NEW YORK",-73.9234619,40.7643574
1600,CERTIFIED,HOLIDAY RESORT GUAM,GENERAL AND OPERATIONS MANAGERS,OPERATIONS DIRECTOR,N,55890,2016,"TUMON, NA",144.7878689,13.4970205
1601,CERTIFIED,MAHI GRANITES PVT LTD CO.,GENERAL AND OPERATIONS MANAGERS,DISTRICT GENERAL MANAGER,N,64002,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
1602,CERTIFIED,"TORCSILL FOUNDATIONS, LLC",GENERAL AND OPERATIONS MANAGERS,PRESIDENT,Y,175594,2016,"PASADENA, TEXAS",-95.2091006,29.6910625
1603,CERTIFIED,LUMINA DATAMATICS INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER (E-RETAIL SOLUTIONS & SERVICES),Y,70117,2016,"PLYMOUTH, MASSACHUSETTS",-70.6672621,41.9584457
1604,CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765,2016,"HOLDENVILLE, OKLAHOMA",NA,NA
1605,CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765,2016,"HOLDENVILLE, OKLAHOMA",NA,NA
1606,DENIED,VISTRA (NEW YORK) INC,GENERAL AND OPERATIONS MANAGERS,COMMERCIAL DIRECTOR,Y,160451,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1607,CERTIFIED,"LIHMIL, INC.",GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,69285,2016,"KERNERSVILLE, NORTH CAROLINA",NA,NA
1608,CERTIFIED,"BLOOMAKER USA, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,68536,2016,"WAYNESBORO, VIRGINIA",-78.8894682,38.0684692
1609,CERTIFIED,KISMET FOODS LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,74401.6,2016,"CLIFTON, NEW JERSEY",-74.1637553,40.8584328
1610,CERTIFIED,ASAP CORE DRILLING & FIRE SAFETY INC.,GENERAL AND OPERATIONS MANAGERS,PLANNING AND OPERATIONS MANAGER,N,41142,2016,"SPRINGFIELD, VIRGINIA",-77.1872036,38.7892801
1611,CERTIFIED,"GLOBAL STRATEGIES, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,70117,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
1612,CERTIFIED,E-Z MAILING SERVICES INC.,GENERAL AND OPERATIONS MANAGERS,BUSINESS OPERATIONS MANAGER,Y,86132.8,2016,"ELIZABETH, NEW JERSEY",-74.2107006,40.6639916
1613,CERTIFIED,ABRI FOUNDATION,GENERAL AND OPERATIONS MANAGERS,RESEARCH AND DEVELOPMENT MANAGER,Y,79414,2016,"AURORA, ILLINOIS",-88.3200715,41.7605849
1614,DENIED,BOSTON INNOVATION GATEWAY LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,Y,72000,2016,"CAMBRIDGE, MASSACHUSETTS",-71.1097335,42.3736158
1615,CERTIFIED,OMEGA-R INC,GENERAL AND OPERATIONS MANAGERS,HEAD OF BUSINESS DEVELOPMENT,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1616,CERTIFIED,"RAMAGDA ENTERPRISES, LLC",GENERAL AND OPERATIONS MANAGERS,HOTEL MANAGER,Y,86133,2016,"FLEMINGTON, NEW JERSEY",-74.8593318,40.5123258
1617,CERTIFIED,ARAPURA INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,60000,2016,"SOUTHPORT, CONNECTICUT",NA,NA
1618,DENIED,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1619,CERTIFIED,ASSEMBLEDGE INC,GENERAL AND OPERATIONS MANAGERS,BUSINESS MANAGER FOR INTERNATIONAL AFFAIRS AND OPERATIONS,N,57034,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
1620,CERTIFIED,ABRI FOUNDATION,GENERAL AND OPERATIONS MANAGERS,PROGRAMS MANAGER,Y,79414,2016,"AURORA, ILLINOIS",-88.3200715,41.7605849
1621,CERTIFIED-WITHDRAWN,GALAXY RESTAURANTS CATERING GROUP LP,GENERAL AND OPERATIONS MANAGERS,EXECUTIVE CHEF,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1622,CERTIFIED,APPLE INC.,GENERAL AND OPERATIONS MANAGERS,ENGINEERING PROJECT MGR,Y,113339,2016,"CUPERTINO, CALIFORNIA",-122.0321823,37.3229978
1623,CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765,2016,"HOLDENVILLE, OKLAHOMA",NA,NA
1624,CERTIFIED,SOLE COOL INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,62629,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
1625,CERTIFIED,"CVR REFINING GP, LLC",GENERAL AND OPERATIONS MANAGERS,VICE PRESIDENT AND GENERAL MANAGER OF REFINING,Y,109574,2016,"WYNNEWOOD, OKLAHOMA",NA,NA
1626,CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765,2016,"SASAKWA, OKLAHOMA",NA,NA
1627,CERTIFIED,"NX UTILITIES, LLC",GENERAL AND OPERATIONS MANAGERS,CHIEF EXECUTIVE OFFICER,Y,174429,2016,"KING OF PRUSSIA, PENNSYLVANIA",-75.3835525,40.1012856
1628,WITHDRAWN,"DAVINCI GROUP HOLDINGS, INC.",GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS & LATIN AMERICAN EXPORTATION,N,62629,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
1629,CERTIFIED,QLEEK INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
1630,CERTIFIED,"M.M.K., INC.",GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,N,54059,2016,"ATLANTA, GEORGIA",-84.3879824,33.7489954
1631,CERTIFIED,"TAPAD, INC.",GENERAL AND OPERATIONS MANAGERS,"VICE PRESIDENT, ADTECH",Y,117437,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1632,CERTIFIED,VH LISLE LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,48339,2016,"LISLE, ILLINOIS",-88.0747875,41.801141
1633,DENIED,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1634,CERTIFIED,"CELLPHIRE, INC.",GENERAL AND OPERATIONS MANAGERS,VICE PRESIDENT OPERATIONS,Y,135200,2016,"ROCKVILLE, MARYLAND",-77.1527578,39.0839973
1635,CERTIFIED,CAPITAL PLASTICS INTL INC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGER,N,64002,2016,"STAFFORD, TEXAS",-95.5577221,29.6160671
1636,CERTIFIED,MANSHA PARTNERS LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,77626,2016,"DULLES, VIRGINIA",-77.4478193,38.9558546
1637,CERTIFIED,"DIL MIL, INC",GENERAL AND OPERATIONS MANAGERS,VP OF OPERATIONS & STRATEGY,Y,109595,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
1638,CERTIFIED,"REG SERVICES GROUP, LLC",GENERAL AND OPERATIONS MANAGERS,SENIOR BUSINESS ANALYST,Y,70200,2016,"AMES, IOWA",-93.6319131,42.0307812
1639,CERTIFIED,VISTRA (NEW YORK) INC,GENERAL AND OPERATIONS MANAGERS,COMMERCIAL DIRECTOR,Y,160451,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1640,CERTIFIED,PREM PHARMACY CORP,GENERAL AND OPERATIONS MANAGERS,PHARMACY MANAGER SERVICES,Y,74401.6,2016,"BROOKLYN, NEW YORK",-73.9441579,40.6781784
1641,CERTIFIED,LAS VEGAS INDOOR SOCCER INC.,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF SPORTS-OPERATIONS,N,47944,2016,"LAS VEGAS, NEVADA",-115.1398296,36.1699412
1642,CERTIFIED,VINAYAKA HOSPITALITY LISLE LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,48339,2016,"LISLE, ILLINOIS",-88.0747875,41.801141
1643,CERTIFIED,QLEEK INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
1644,CERTIFIED,"SHELADIA ASSOCIATES, INC.",GENERAL AND OPERATIONS MANAGERS,SENIOR INFRASTRUCTURE OPERATIONS MANAGER,Y,135200,2016,"ROCKVILLE, MARYLAND",-77.1527578,39.0839973
1645,CERTIFIED,KWS GATEWAY RESEARCH CENTER LLC,GENERAL AND OPERATIONS MANAGERS,"PROGRAM MANAGER, CORN & OILCROPS AMERICAS",N,46051,2016,"ST. LOUIS, MISSOURI",-90.1994042,38.6270025
1646,WITHDRAWN,MARIE LANDEL AND ASSOCIATES,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,Y,107515,2016,"CAMBRIDGE, MASSACHUSETTS",-71.1097335,42.3736158
1647,CERTIFIED,POLICYGENIUS INC.,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER (DIRECTOR OF OPERATIONS),Y,117437,2016,"BROOKLYN, NEW YORK",-73.9441579,40.6781784
1648,CERTIFIED,PAYMENT TECHNOLOGIES LIMITED,GENERAL AND OPERATIONS MANAGERS,HEAD OF BUSINESS OPERATIONS-GLOBAL FINANCIAL SERVICES,Y,104645,2016,"TULSA, OKLAHOMA",-95.992775,36.1539816
1649,CERTIFIED,NBR WHEELS AND TIRES LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,62629,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
1650,CERTIFIED,"HOSTESS BRANDS SERVICES, LLC",GENERAL AND OPERATIONS MANAGERS,"DIRECTOR,  CAKE MANUFACTURING / CONTINUOUS IMPROVEMENT",Y,70928,2016,"EMPORIA, KANSAS",NA,NA
1651,CERTIFIED,"GUARDLAB, INC.",GENERAL AND OPERATIONS MANAGERS,"VICE PRESIDENT, OPERATIONS",Y,117437,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1652,CERTIFIED,LAXMI NARAYANA CORPORATION,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,52374,2016,"CLAIRTON, PENNSYLVANIA",NA,NA
1653,CERTIFIED,A3R LLC,GENERAL AND OPERATIONS MANAGERS,PROJECT MANAGER,Y,77626,2016,"MCLEAN, VIRGINIA",-77.1772604,38.9338676
1654,CERTIFIED,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1655,DENIED,BOSTON INNOVATION GATEWAY LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,N,54455,2016,"CAMBRIDGE, MASSACHUSETTS",-71.1097335,42.3736158
1656,CERTIFIED,"VIII HOTEL II TB INVESTORS, LLC",GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,Y,160451,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1657,CERTIFIED,"KEOLIS AMERICA, INC.",GENERAL AND OPERATIONS MANAGERS,VP BOSTON RECOVERY PROGRAM,Y,182291,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
1658,CERTIFIED,"CHENIERE ENERGY, INC.",GENERAL AND OPERATIONS MANAGERS,OUTAGE PLANNING MANAGER,Y,117021,2016,"CAMERON, LOUISIANA",NA,NA
1659,CERTIFIED-WITHDRAWN,CARLTON MULTI SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,64002,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
1660,DENIED,KARAMJOT CORPORATION,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,57033.6,2016,"VAN NUYS, CALIFORNIA",-118.451357,34.1898566
1661,CERTIFIED,THE ROCKEFELLER FOUNDATION,GENERAL AND OPERATIONS MANAGERS,"ASSOCIATE DIRECTOR, NETWORK ENGAGEMENT AND BELLAGIO PROGRAMS",Y,117437,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1662,CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,N,46654,2016,"ST. THOMAS, NA",-81.1826527,42.7777214
1663,CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,Y,72675,2016,"JUNEAU, ALASKA",-134.4197222,58.3019444
1664,WITHDRAWN,BOSTON INNOVATION GATEWAY LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGER,N,54454,2016,"CAMBRIDGE, MASSACHUSETTS",-71.1097335,42.3736158
1665,CERTIFIED,"MPOWERD, INC.",GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS AND STRATEGIC PLANNING,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1666,CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,N,46654,2016,"ST. THOMAS, NA",-81.1826527,42.7777214
1667,CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,Y,72675,2016,"SKAGWAY, ALASKA",NA,NA
1668,CERTIFIED,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,GENERAL AND OPERATIONS MANAGERS,ADMINISTRATIVE MANAGER,N,58261,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1669,CERTIFIED,CAMERON INTERNATIONAL CORPORATION,GENERAL AND OPERATIONS MANAGERS,PROPOSAL PROJECT MANAGER,Y,101192,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
1670,WITHDRAWN,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1671,CERTIFIED,BUILDING MARKETS LTD,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,100568,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1672,CERTIFIED,GEMOLOGICAL INSTITUTE OF AMERICA (GIA),GENERAL AND OPERATIONS MANAGERS,"ASSOCIATE MANAGER, OPERATIONS SERVICES",N,58261,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1673,CERTIFIED,"FRIENDLY'S ICE CREAM, LLC",GENERAL AND OPERATIONS MANAGERS,"SENIOR DIRECTOR, OPERATIONS",Y,81723,2016,"WILBRAHAM, MASSACHUSETTS",NA,NA
1674,CERTIFIED,BOSTON INNOVATION GATEWAY,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,Y,70117,2016,"CAMBRIDGE, MASSACHUSETTS",-71.1097335,42.3736158
1675,CERTIFIED,"JEUGENE, INC.",GENERAL AND OPERATIONS MANAGERS,CHIEF EXECUTIVE OFFICER,Y,74402,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1676,CERTIFIED,YUPANA LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,67475,2016,"WALNUT CREEK, CALIFORNIA",-122.0651819,37.9100783
1677,CERTIFIED,"TRANSDEV SERVICES, INC.",GENERAL AND OPERATIONS MANAGERS,"VICE PRESIDENT, OPERATIONAL PERFORMANCE",Y,141565,2016,"LOMBARD, ILLINOIS",-88.0078435,41.8800296
1678,CERTIFIED,"UNIVERSAL TRADING & CONSULTATION, INC.",GENERAL AND OPERATIONS MANAGERS,BUSINESS DEVELOPMENT (OPERATIONS) MANAGER,Y,70117,2016,"WELLESLEY, MASSACHUSETTS",-71.2923877,42.296797
1679,CERTIFIED-WITHDRAWN,"AMERICAN AIRLINES, INC.",GENERAL AND OPERATIONS MANAGERS,"MANAGER, PROGRAM MANAGEMENT",Y,85155,2016,"FORT WORTH, TEXAS",-97.3307658,32.7554883
1680,CERTIFIED,DELOITTE CONSULTING LLP,GENERAL AND OPERATIONS MANAGERS,MANAGER,Y,113318,2016,"MINNEAPOLIS, MINNESOTA",-93.2650108,44.977753
1681,CERTIFIED,BANGOR CHINESE SCHOOL,GENERAL AND OPERATIONS MANAGERS,ASSISTANT ADMINISTRATOR,N,39956.8,2016,"BANGOR, MAINE",-68.7778138,44.8011821
1682,CERTIFIED,ACCESS HEALTH INTERNATIONAL INC.,GENERAL AND OPERATIONS MANAGERS,MANAGING DIRECTOR,Y,117437,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
1683,CERTIFIED,"MILLICOM INTERNATIONAL SERVICES, LLC",GENERAL AND OPERATIONS MANAGERS,3RD PARTY CHANNELS PROGRAMMING CHIEF - LATIN AMERICA,Y,135533,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
1684,CERTIFIED,AERSHIN INC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,N,62629,2016,"RICHARDSON, TEXAS",-96.7298519,32.9483335
1685,CERTIFIED,KARAMJOT CORPORATION,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGER,N,57033.6,2016,"VAN NUYS, CALIFORNIA",-118.451357,34.1898566
1686,CERTIFIED,"PAYPAL, INC.",GENERAL AND OPERATIONS MANAGERS,"DIRECTOR, PRODUCT POLICY",Y,197475,2016,"SAN JOSE, CALIFORNIA",-121.8863286,37.3382082
1687,CERTIFIED,"COEUR MINING, INC.",GENERAL AND OPERATIONS MANAGERS,VP NORTH AMERICAN OPERATIONS,Y,141565,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
1688,CERTIFIED,"MATTEL HQ, INC.",GENERAL AND OPERATIONS MANAGERS,"MANAGER, GLOBAL COMMERCIAL STRATEGIC PLANNING",Y,92352,2016,"EL SEGUNDO, CALIFORNIA",-118.4164652,33.9191799
1689,CERTIFIED,"HAVER & BOECKER USA, INC.",GENERAL AND OPERATIONS MANAGERS,EXECUTIVE VICE PRESIDENT,Y,154482,2016,"CONYERS, GEORGIA",-84.0176904,33.6676103
1690,CERTIFIED,"AUTOMOTIVE EXTERIORS, LLC",GENERAL AND OPERATIONS MANAGERS,PLANT MANAGER,Y,98134,2016,"BELVIDERE, ILLINOIS",NA,NA
1691,CERTIFIED,"NEXTRACKER, INC.",GENERAL AND OPERATIONS MANAGERS,"SR DIRECTOR, PLANNING & SYSTEMS",Y,164528,2016,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
1692,CERTIFIED,"UBER TECHNOLOGIES, INC.",GENERAL AND OPERATIONS MANAGERS,REGIONAL OPERATIONS MANAGER,Y,77626,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
1693,CERTIFIED,"IMPCO TECHNOLOGIES, INC.",GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,Y,119995,2016,"STERLING HEIGHTS, MICHIGAN",-83.0302033,42.5803122
